mean_energy_eV,Te_eV,R625,R626,R627,R628,R629,R630,R631,R633,R634,R636,R638,R639,R640,R641,R642,R653_C18,R655,R656,R657,R643,R644,R645,R646,R647,R648,R649,R650,R651,R652,R653,R658,R659,R660,R661,R663,R665,R666,R667,R672,R668,R669,R670,R671,R673
0.100005,0.066670,0.000000E+00,0.000000E+00,6.942910E-13,1.725850E-16,8.616450E-20,2.976350E-20,0.000000E+00,0.000000E+00,1.081090E-14,7.718340E-21,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,4.657080E-15,7.016710E-19,2.511760E-23,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
0.443590,0.295727,0.000000E+00,0.000000E+00,4.788160E-13,3.041420E-15,3.403090E-15,3.193290E-15,0.000000E+00,0.000000E+00,3.399870E-14,4.838500E-17,2.482930E-18,1.315270E-19,6.982340E-22,4.137160E-23,9.387910E-26,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.701300E-27,3.234450E-31,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.973120E-14,2.961150E-16,5.856900E-17,2.016980E-18,1.861010E-20,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
0.787178,0.524785,0.000000E+00,0.000000E+00,3.335290E-13,2.896100E-15,4.701300E-15,4.542120E-15,0.000000E+00,0.000000E+00,5.202910E-14,3.270160E-16,5.763580E-17,1.044930E-17,4.237920E-19,1.109890E-19,1.742970E-21,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.415840E-22,3.726440E-25,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.252950E-14,3.371680E-16,1.095910E-16,1.044930E-17,2.478430E-19,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
1.130760,0.753840,3.355680E-20,6.337820E-19,2.352680E-13,2.541250E-15,4.558700E-15,4.463510E-15,3.477280E-19,5.291460E-23,7.692320E-14,2.525950E-15,1.225910E-15,7.284870E-16,2.955000E-16,1.833730E-16,7.874700E-17,1.077570E-20,1.696960E-21,1.338810E-22,4.700060E-22,2.558980E-17,6.089330E-18,3.792900E-20,1.133810E-19,4.394170E-19,2.476170E-19,5.918630E-20,4.844180E-20,3.487160E-20,6.773690E-20,3.719340E-20,3.265980E-24,1.791830E-28,2.345240E-19,4.203300E-14,2.719160E-16,1.092210E-16,3.469520E-17,3.679620E-18,5.812770E-25,1.955450E-18,2.631980E-18,2.018100E-18,5.409380E-22,7.786860E-22
1.474350,0.982900,7.005920E-19,9.971060E-18,2.108930E-13,2.450880E-15,4.501490E-15,4.420050E-15,1.207500E-17,2.335200E-20,9.310370E-14,3.857500E-15,2.069390E-15,1.349320E-15,7.119220E-16,4.998250E-16,3.045650E-16,1.693680E-18,1.714640E-19,3.052250E-20,1.736060E-19,1.268240E-16,4.203350E-17,1.052720E-18,3.598560E-18,1.412670E-17,8.337070E-18,2.386010E-18,2.028930E-18,1.558220E-18,3.218370E-18,1.926720E-18,6.018190E-21,2.198750E-23,3.759440E-18,4.583870E-14,3.098010E-16,1.279170E-16,1.016740E-16,1.960540E-17,5.951220E-22,3.469130E-17,5.533660E-17,7.495820E-17,4.466250E-20,1.734340E-19
1.817960,1.211973,1.646830E-18,2.075260E-17,1.950860E-13,2.402840E-15,4.545160E-15,4.472810E-15,3.378240E-17,1.457960E-19,1.034800E-13,4.325370E-15,2.371920E-15,1.571350E-15,8.895780E-16,6.492150E-16,4.329910E-16,7.328770E-18,6.143310E-19,1.505520E-19,9.988290E-19,1.936250E-16,6.960840E-17,2.743310E-18,9.747620E-18,3.811920E-17,2.321000E-17,6.939080E-18,6.023690E-18,4.705790E-18,9.935110E-18,5.996260E-18,5.469360E-20,3.652050E-22,7.869540E-18,4.940650E-14,3.812590E-16,1.608280E-16,1.707840E-16,3.618160E-17,4.498350E-21,7.606920E-17,1.286570E-16,2.090650E-16,1.635580E-19,8.637290E-19
2.161530,1.441020,2.730430E-18,3.151400E-17,1.819670E-13,2.368130E-15,4.616440E-15,4.551830E-15,6.324000E-17,4.624860E-19,1.120400E-13,4.558080E-15,2.525620E-15,1.683820E-15,9.935090E-16,7.429530E-16,5.220680E-16,1.789860E-17,1.312850E-18,4.040570E-19,2.968290E-18,2.436180E-16,9.169130E-17,4.899830E-18,1.783030E-17,6.928280E-17,4.337300E-17,1.326740E-17,1.170350E-17,9.231270E-18,1.982510E-17,1.192570E-17,2.151870E-19,2.079210E-21,1.199350E-17,5.298270E-14,4.643470E-16,1.988530E-16,2.385790E-16,5.243640E-17,1.570090E-20,1.201120E-16,2.114100E-16,3.873320E-16,3.649000E-19,2.351930E-18
2.505130,1.670087,3.910900E-18,4.197450E-17,1.705760E-13,2.341870E-15,4.702000E-15,4.644300E-15,1.001830E-16,1.107870E-18,1.195440E-13,4.668410E-15,2.602650E-15,1.740470E-15,1.056950E-15,8.047000E-16,5.863220E-16,3.443140E-17,2.265960E-18,8.417560E-19,6.704100E-18,2.820850E-16,1.096140E-16,7.477490E-18,2.769620E-17,1.067790E-16,6.865560E-17,2.130190E-17,1.904910E-17,1.512200E-17,3.299540E-17,1.967750E-17,5.983030E-19,7.600100E-21,1.601710E-17,5.659120E-14,5.542340E-16,2.399150E-16,3.045470E-16,6.824300E-17,3.978520E-20,1.654320E-16,3.006390E-16,6.054610E-16,6.628740E-19,4.986280E-18
2.848710,1.899140,5.165110E-18,5.198520E-17,1.605650E-13,2.322210E-15,4.796460E-15,4.745010E-15,1.449060E-16,2.278770E-18,1.262770E-13,4.696130E-15,2.627490E-15,1.759530E-15,1.093000E-15,8.443590E-16,6.326820E-16,5.809220E-17,3.479920E-18,1.526710E-18,1.303960E-17,3.118340E-16,1.241750E-16,1.046900E-17,3.933760E-17,1.503010E-16,9.924390E-17,3.108290E-17,2.813180E-17,2.243470E-17,4.973670E-17,2.930120E-17,1.377100E-18,2.182380E-20,1.987970E-17,6.023810E-14,6.485230E-16,2.829660E-16,3.683720E-16,8.353020E-17,8.469020E-20,2.112920E-16,3.947820E-16,8.623850E-16,1.077060E-18,9.229510E-18
3.192420,2.128280,6.477190E-18,6.142510E-17,1.517820E-13,2.308270E-15,4.896140E-15,4.850370E-15,1.982210E-16,4.278750E-18,1.323740E-13,4.662770E-15,2.613870E-15,1.750850E-15,1.107400E-15,8.660260E-16,6.637680E-16,9.037940E-17,4.971280E-18,2.544450E-18,2.317290E-17,3.337620E-16,1.355890E-16,1.389390E-17,5.285700E-17,1.999020E-16,1.356410E-16,4.274970E-17,3.911190E-17,3.129590E-17,7.055400E-17,4.093500E-17,2.828390E-18,5.418500E-20,2.353170E-17,6.393010E-14,7.455710E-16,3.272930E-16,4.297220E-16,9.822270E-17,1.622610E-19,2.571680E-16,4.928380E-16,1.159470E-15,1.635940E-18,1.574820E-17
3.535640,2.357093,7.825290E-18,7.018950E-17,1.441320E-13,2.299460E-15,4.998490E-15,4.957870E-15,2.606540E-16,7.515860E-18,1.379410E-13,4.584280E-15,2.571970E-15,1.722270E-15,1.106070E-15,8.742000E-16,6.827830E-16,1.325060E-16,6.740940E-18,3.985770E-18,3.855490E-17,3.492000E-16,1.442570E-16,1.775050E-17,6.826700E-17,2.552720E-16,1.781040E-16,5.635510E-17,5.205820E-17,4.175420E-17,9.582180E-17,5.461000E-17,5.343100E-18,1.208000E-19,2.692960E-17,6.765780E-14,8.436290E-16,3.721080E-16,4.882370E-16,1.122430E-16,2.878400E-19,3.024660E-16,5.934480E-16,1.496060E-15,2.367890E-18,2.533780E-17
3.879490,2.586327,9.195620E-18,7.819100E-17,1.375370E-13,2.295340E-15,5.101340E-15,5.065380E-15,3.335340E-16,1.262420E-17,1.430590E-13,4.471320E-15,2.508330E-15,1.678450E-15,1.092070E-15,8.712110E-16,6.914640E-16,1.862600E-16,8.808450E-18,5.980090E-18,6.133320E-17,3.588820E-16,1.503730E-16,2.207470E-17,8.573840E-17,3.166010E-16,2.273550E-16,7.210110E-17,6.717480E-17,5.396510E-17,1.262580E-16,7.049560E-17,9.535940E-18,2.502500E-19,3.003720E-17,7.143400E-14,9.414730E-16,4.168700E-16,5.437090E-16,1.255470E-16,4.844860E-19,3.468000E-16,6.958800E-16,1.875000E-15,3.317530E-18,3.919730E-17
4.223070,2.815380,1.056370E-17,8.530910E-17,1.319830E-13,2.295650E-15,5.202260E-15,5.170470E-15,4.178420E-16,2.046530E-17,1.477680E-13,4.333080E-15,2.428630E-15,1.623520E-15,1.068170E-15,8.592010E-16,6.914130E-16,2.530480E-16,1.117550E-17,8.665790E-18,9.415810E-17,3.635000E-16,1.541830E-16,2.687160E-17,1.053160E-16,3.835780E-16,2.837740E-16,9.007530E-17,8.454310E-17,6.798080E-17,1.624210E-16,8.862580E-17,1.626840E-17,4.889040E-19,3.280490E-17,7.524520E-14,1.037240E-15,4.607360E-16,5.956030E-16,1.380160E-16,7.822410E-19,3.895100E-16,7.986540E-16,2.296430E-15,4.532100E-18,5.881470E-17
4.566660,3.044440,1.190620E-17,9.149060E-17,1.274130E-13,2.300020E-15,5.299390E-15,5.271300E-15,5.144610E-16,3.216340E-17,1.521090E-13,4.175390E-15,2.336260E-15,1.560040E-15,1.036380E-15,8.397440E-16,6.837860E-16,3.338500E-16,1.383450E-17,1.218380E-17,1.401830E-16,3.635800E-16,1.559010E-16,3.213470E-17,1.269920E-16,4.557100E-16,3.475410E-16,1.103040E-16,1.041650E-16,8.378540E-17,2.047650E-16,1.089510E-16,2.669210E-17,9.075380E-19,3.520930E-17,7.908610E-14,1.129350E-15,5.029840E-16,6.436950E-16,1.496050E-16,1.218590E-18,4.301020E-16,9.004230E-16,2.759640E-15,6.062450E-18,8.599870E-17
4.910250,3.273500,1.319850E-17,9.667600E-17,1.237720E-13,2.308070E-15,5.390650E-15,5.365820E-15,6.242900E-16,4.919210E-17,1.561370E-13,4.007040E-15,2.236740E-15,1.491740E-15,9.992530E-16,8.149390E-16,6.704340E-16,4.293310E-16,1.677310E-17,1.668100E-17,2.032310E-16,3.600180E-16,1.558230E-16,3.784800E-17,1.507170E-16,5.323730E-16,4.186880E-16,1.327720E-16,1.259850E-16,1.013140E-16,2.536950E-16,1.313670E-16,4.234300E-17,1.611480E-18,3.722470E-17,8.294710E-14,1.216110E-15,5.428420E-16,6.876710E-16,1.602470E-16,1.840750E-18,4.680340E-16,9.997210E-16,3.263450E-15,7.967060E-18,1.230140E-16
5.253840,3.502560,1.441600E-17,1.008520E-16,1.209950E-13,2.319380E-15,5.474380E-15,5.452370E-15,7.478450E-16,7.332840E-17,1.598800E-13,3.832970E-15,2.132550E-15,1.420440E-15,9.582210E-16,7.859110E-16,6.522680E-16,5.393570E-16,1.996630E-17,2.227940E-17,2.874630E-16,3.533420E-16,1.541730E-16,4.397000E-17,1.763290E-16,6.126330E-16,4.968320E-16,1.573460E-16,1.498150E-16,1.203940E-16,3.093520E-16,1.556430E-16,6.511540E-17,2.746640E-18,3.884300E-17,8.681490E-14,1.295970E-15,5.796030E-16,7.273460E-16,1.699040E-16,2.702990E-18,5.028390E-16,1.095040E-15,3.804840E-15,1.030350E-17,1.724470E-16
5.597440,3.731627,1.553770E-17,1.040560E-16,1.189740E-13,2.333400E-15,5.549300E-15,5.529730E-15,8.849820E-16,1.064870E-16,1.633880E-13,3.659100E-15,2.027490E-15,1.348710E-15,9.152690E-16,7.544700E-16,6.309080E-16,6.626780E-16,2.337270E-17,2.904230E-17,3.967950E-16,3.443450E-16,1.513250E-16,5.042780E-17,2.035270E-16,6.952570E-16,5.810540E-16,1.837360E-16,1.753030E-16,1.407200E-16,3.714700E-16,1.814020E-16,9.710760E-17,4.496050E-18,4.007720E-17,9.067320E-14,1.367730E-15,6.127070E-16,7.627200E-16,1.785800E-16,3.860450E-18,5.341980E-16,1.185020E-15,4.378570E-15,1.311830E-17,2.369260E-16
5.941020,3.960680,1.654900E-17,1.063770E-16,1.175990E-13,2.349580E-15,5.614880E-15,5.597410E-15,1.034960E-15,1.505620E-16,1.666920E-13,3.488670E-15,1.923220E-15,1.277700E-15,8.715290E-16,7.215400E-16,6.072080E-16,7.971370E-16,2.694340E-17,3.696320E-17,5.345010E-16,3.336400E-16,1.475370E-16,5.712840E-17,2.319140E-16,7.789020E-16,6.700270E-16,2.115470E-16,2.019940E-16,1.619100E-16,4.394170E-16,2.081810E-16,1.404630E-16,7.071380E-18,4.096000E-17,9.450480E-14,1.430730E-15,6.418410E-16,7.939710E-16,1.863190E-16,5.364110E-18,5.619840E-16,1.268650E-15,4.978030E-15,1.644390E-17,3.189300E-16
6.284020,4.189347,1.743720E-17,1.078630E-16,1.167770E-13,2.367430E-15,5.670220E-15,5.654530E-15,1.197080E-15,2.076270E-16,1.698260E-13,3.327090E-15,1.823120E-15,1.209810E-15,8.288030E-16,6.887380E-16,5.827650E-16,9.405080E-16,3.063420E-17,4.601160E-17,7.038830E-16,3.220560E-16,1.431760E-16,6.398100E-17,2.611020E-16,8.623410E-16,7.624180E-16,2.403890E-16,2.294480E-16,1.835980E-16,5.125390E-16,2.355520E-16,1.975630E-16,1.072430E-17,4.151000E-17,9.828870E-14,1.484270E-15,6.666860E-16,8.210860E-16,1.931170E-16,7.267870E-18,5.860110E-16,1.344950E-15,5.597270E-15,2.031640E-17,4.212150E-16
